Nombre,Liga,Club,Posición,Puntos,Unnamed: 5,prueba_id,Titulo,Fecha,Categoria,Arma,Genero,Tipo
PACHÓN NIÑO SANTIAGO,BOGOTA,FORZA,1.0,32.0,,1409,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,FLORETE,MASCULINO,INDIVIDUAL
POLANCO BARRERO MARTIN,TOLIMA,C.D.E.,2.0,26.0,,1409,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,FLORETE,MASCULINO,INDIVIDUAL
QUEVEDO SANCHEZ NICOLAS,FFAA,ESMIC,3.0,20.0,,1409,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,FLORETE,MASCULINO,INDIVIDUAL
SERNA CAMERO DUBAN ANDRES,FFAA,ECSAN,3.0,20.0,,1409,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,FLORETE,MASCULINO,INDIVIDUAL
GARZON RAMIREZ LUIS ANDRES FELIPE,CALDAS,TOUCHE,5.0,14.0,,1409,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,FLORETE,MASCULINO,INDIVIDUAL
MEDELLÍN RUIZ JUAN PABLO,BOGOTA,BRAVENESS,6.0,14.0,,1409,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,FLORETE,MASCULINO,INDIVIDUAL
PIEDRAHITA GOMEZ ALEJANDRA,ANTIOQUIA,FENCING,1.0,32.0,,1410,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,ESPADA,FEMENINO,INDIVIDUAL
CASTILLO GUTIERREZ LAURA MARIELA,VALLE,OLGA QUEVEDO,2.0,26.0,,1410,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,ESPADA,FEMENINO,INDIVIDUAL
NUSA VASQUEZ MARÍA DEL MAR,BOGOTA,SABRE D´OR,3.0,20.0,,1410,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,ESPADA,FEMENINO,INDIVIDUAL
RODRIGUEZ QUEVEDO DIANA MARITZA,FFAA,ESMIC,3.0,20.0,,1410,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,ESPADA,FEMENINO,INDIVIDUAL
OSORIO ROZO LINA PAOLA,FFAA,ECSAN,5.0,14.0,,1410,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,ESPADA,FEMENINO,INDIVIDUAL
ROJAS LOPEZ SOPHIA ALEJANDRA,BOGOTA,MOSQUETEROS,6.0,14.0,,1410,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,ESPADA,FEMENINO,INDIVIDUAL
LÓPEZ CEBALLOS CLEMENTINA,BOGOTA,MOSQUETEROS,7.0,14.0,,1410,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,ESPADA,FEMENINO,INDIVIDUAL
KLIMAVICIUS PALMA LINDA,VALLE,VENCEDORES,1.0,32.0,,1411,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,SABLE,FEMENINO,INDIVIDUAL
GUTIERREZ RODRIGUEZ MARIA FERNANDA,RISARALDA,SUEÑOSDECAMPEON,2.0,26.0,,1411,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,SABLE,FEMENINO,INDIVIDUAL
BELTRAN ROJAS VALENTINA,VALLE,VENCEDORES,3.0,20.0,,1411,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,SABLE,FEMENINO,INDIVIDUAL
LEYVA VANEGAS MARIA,VALLE,PORTHOS CLUB VALLE,3.0,20.0,,1411,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,SABLE,FEMENINO,INDIVIDUAL
CUÉLLAR RIVEROS EYLLEN KATHERINE,RISARALDA,SUEÑOSDECAMPEON,5.0,14.0,,1411,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,SABLE,FEMENINO,INDIVIDUAL
GARTNER HENAO DIANA MARITZA,RISARALDA,SUEÑOSDECAMPEON,6.0,14.0,,1411,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,SABLE,FEMENINO,INDIVIDUAL
ZAMUDIO VARON KARENN MARCELA,FFAA,ESMIC,7.0,14.0,,1411,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",07-03-2020,MAYORES,SABLE,FEMENINO,INDIVIDUAL
PRIETO ALJURE TATIANA CATALINA,BOGOTA,MOSQUETEROS,1.0,32.0,,1412,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,FLORETE,FEMENINO,INDIVIDUAL
MENDEZ CASTILLO INGRID ESTEFANÍA,VALLE,PORTHOS CLUB VALLE,2.0,26.0,,1412,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,FLORETE,FEMENINO,INDIVIDUAL
MONROY HERRERA GABRIELA,BOGOTA,FORZA,3.0,20.0,,1412,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,FLORETE,FEMENINO,INDIVIDUAL
RAMIREZ QUINTERO ANA MARIA,CUNDINAMARCA,MONTEPINCIO,3.0,20.0,,1412,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,FLORETE,FEMENINO,INDIVIDUAL
CASTILLO GUTIERREZ JUAN ANDRES,CUNDINAMARCA,GUARDIA REAL,1.0,32.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
LOZANO MONTOYA MICHAEL AUGUSTO,TOLIMA,C.D.E.,2.0,26.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
AGAMEZ LONDOÑO STAHELYN JOSE,CALDAS,TOUCHE,3.0,20.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
PÉREZ TRIANA DANIEL A.,ANTIOQUIA,TIZONA ANTIOQUIA,3.0,20.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
SCHEUERLE REINHARD,BOGOTA,SABRE D´OR,5.0,14.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
RAMIREZ QUINTERO JUAN DIEGO,CUNDINAMARCA,MONTEPINCIO,6.0,14.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
PATERNINA BARBOSA JOSHUA,BOGOTA,BRAVENESS,7.0,14.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
RODRIGUEZ ULLOA ANDRES FELIPE,BOGOTA,GCFA,8.0,14.0,,1413,"I Torneo Nal de Mayores Individual - Bogotá,7 al 8 de Marzo de 2020",08-03-2020,MAYORES,ESPADA,MASCULINO,INDIVIDUAL
